index,titles,artists
639,"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel
640,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns
641,"Turandot / Act 3: ""Nessun dorma!""",Giacomo Puccini
642,The Sorcerer's Apprentice,Paul Dukas
643,Fanfare for the Common Man,Aaron Copland
644,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg
645,"Suite No.3 In D, BWV 1068: 2. Air",Johann Sebastian Bach
646,"Symphony No.8 in B minor, D.759 - ""Unfinished"": 1. Allegro moderato",Franz Schubert
647,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",Pyotr Ilyich Tchaikovsky
648,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Ludwig van Beethoven
649,Overture Candide,Leonard Bernstein
650,"Andante festivo for Strings and Timpani, JS 34b",Jean Sibelius
651,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt
652,O Magnum Mysterium: O magnum mysterium,Morten Lauridsen
653,Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov
654,"Barber: Adagio for Strings, Op. 11",Samuel Barber
655,"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Johann Sebastian Bach
656,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),Alexander Borodin
657,"Requiem in D minor, K.626: 3. Sequentia: Confutatis",Wolfgang Amadeus Mozart
658,"Prokofiev: Romeo and Juliet, Op. 64, Act 1: Dance of the Knights",Sergei Prokofiev
659,"Different Trains: America, Before the War",Steve Reich
660,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck
661,Adiemus,Karl Jenkins
662,Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,Aram Khachaturian
663,Spiegel im Spiegel - Version for Violin and Piano,Arvo Pärt
664,"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1",Max Richter
